mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__solver,param_classifier__C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.011440277099609375,0.001480333051293312,0.008287429809570312,0.00220008374872206,liblinear,0.0001,"{'classifier__solver': 'liblinear', 'classifier__C': np.float64(0.0001)}",0.9966329966329966,0.9932659932659933,1.0,1.0,1.0,0.997979797979798,0.002693602693602681,19
0.013098907470703126,0.0031251326990079063,0.008390998840332032,0.001599999914136149,liblinear,0.00026366508987303583,"{'classifier__solver': 'liblinear', 'classifier__C': np.float64(0.00026366508987303583)}",0.9949494949494949,0.9949494949494949,1.0,1.0,1.0,0.997979797979798,0.0024742320634173675,19
0.011481714248657227,0.0016213301707078982,0.007726335525512695,0.0009146759872959967,liblinear,0.0006951927961775605,"{'classifier__solver': 'liblinear', 'classifier__C': np.float64(0.0006951927961775605)}",0.9966329966329966,0.9966329966329966,1.0,1.0,1.0,0.9986531986531986,0.0016494880422782269,7
0.011930751800537109,0.0017720260389626288,0.007463932037353516,0.0006375209555007386,liblinear,0.0018329807108324356,"{'classifier__solver': 'liblinear', 'classifier__C': np.float64(0.0018329807108324356)}",1.0,0.9983164983164984,1.0,1.0,0.9982517482517483,0.9993136493136493,0.0008408538244365301,3
0.01241598129272461,0.00406921632917507,0.007802248001098633,0.000882348669439645,liblinear,0.004832930238571752,"{'classifier__solver': 'liblinear', 'classifier__C': np.float64(0.004832930238571752)}",1.0,0.9983164983164984,1.0,1.0,0.9982517482517483,0.9993136493136493,0.0008408538244365301,3
0.013111543655395509,0.0027345231585977356,0.006695222854614258,0.0001771889538366354,liblinear,0.012742749857031334,"{'classifier__solver': 'liblinear', 'classifier__C': np.float64(0.012742749857031334)}",1.0,0.9983164983164984,1.0,1.0,1.0,0.9996632996632997,0.0006734006734006481,1
0.01128997802734375,0.002887223983864238,0.0067327022552490234,0.00010098764850957274,liblinear,0.03359818286283781,"{'classifier__solver': 'liblinear', 'classifier__C': np.float64(0.03359818286283781)}",1.0,0.9966329966329966,1.0,1.0,1.0,0.9993265993265993,0.0013468013468013404,2
0.013024663925170899,0.003280332453894165,0.009115314483642578,0.003891050688321732,liblinear,0.08858667904100823,"{'classifier__solver': 'liblinear', 'classifier__C': np.float64(0.08858667904100823)}",1.0,0.9966329966329966,1.0,1.0,0.9965034965034966,0.9986272986272986,0.0016817076488731147,8
0.01244978904724121,0.0026353619502759032,0.00696406364440918,0.000686968101777812,liblinear,0.23357214690901212,"{'classifier__solver': 'liblinear', 'classifier__C': np.float64(0.23357214690901212)}",1.0,0.9983164983164984,1.0,1.0,0.9965034965034966,0.998963998963999,0.0013923522461243554,5
0.01344141960144043,0.004591495982972867,0.008126926422119141,0.0012859418833298976,liblinear,0.615848211066026,"{'classifier__solver': 'liblinear', 'classifier__C': np.float64(0.615848211066026)}",1.0,0.9983164983164984,1.0,1.0,0.9965034965034966,0.998963998963999,0.0013923522461243554,5
0.01075572967529297,0.00039389466452912616,0.007500314712524414,0.0007518902608803309,liblinear,1.623776739188721,"{'classifier__solver': 'liblinear', 'classifier__C': np.float64(1.623776739188721)}",1.0,0.9983164983164984,1.0,1.0,0.9947552447552448,0.9986143486143486,0.0020367369335754825,9
0.012277317047119141,0.002250972240755061,0.010180854797363281,0.004574509005638889,liblinear,4.281332398719396,"{'classifier__solver': 'liblinear', 'classifier__C': np.float64(4.281332398719396)}",1.0,0.9983164983164984,1.0,1.0,0.9947552447552448,0.9986143486143486,0.0020367369335754825,9
0.011422538757324218,0.0025276513821483057,0.006506156921386719,0.0006985800484642865,liblinear,11.288378916846883,"{'classifier__solver': 'liblinear', 'classifier__C': np.float64(11.288378916846883)}",1.0,1.0,1.0,1.0,0.993006993006993,0.9986013986013986,0.002797202797202791,11
0.010957622528076172,0.0022314317276617953,0.006921577453613281,0.000845996974158755,liblinear,29.763514416313132,"{'classifier__solver': 'liblinear', 'classifier__C': np.float64(29.763514416313132)}",1.0,1.0,1.0,1.0,0.993006993006993,0.9986013986013986,0.002797202797202791,11
0.009825563430786133,0.0001073642674119089,0.0070994853973388675,0.0007853186999757471,liblinear,78.47599703514607,"{'classifier__solver': 'liblinear', 'classifier__C': np.float64(78.47599703514607)}",1.0,1.0,1.0,1.0,0.993006993006993,0.9986013986013986,0.002797202797202791,11
0.012320804595947265,0.002212146742214423,0.006807804107666016,0.0003295702715974315,liblinear,206.913808111479,"{'classifier__solver': 'liblinear', 'classifier__C': np.float64(206.913808111479)}",1.0,1.0,1.0,1.0,0.993006993006993,0.9986013986013986,0.002797202797202791,11
0.012088394165039063,0.0038258059183222015,0.006809663772583008,0.0013516966045863527,liblinear,545.5594781168514,"{'classifier__solver': 'liblinear', 'classifier__C': np.float64(545.5594781168514)}",1.0,1.0,1.0,1.0,0.993006993006993,0.9986013986013986,0.002797202797202791,11
0.012549352645874024,0.003066797162622765,0.007556819915771484,0.0007232085853055365,liblinear,1438.44988828766,"{'classifier__solver': 'liblinear', 'classifier__C': np.float64(1438.44988828766)}",1.0,1.0,1.0,1.0,0.993006993006993,0.9986013986013986,0.002797202797202791,11
0.012894201278686523,0.0032868209341981864,0.006776142120361328,0.00010656840038796906,liblinear,3792.690190732246,"{'classifier__solver': 'liblinear', 'classifier__C': np.float64(3792.690190732246)}",1.0,1.0,1.0,1.0,0.993006993006993,0.9986013986013986,0.002797202797202791,11
